,cvTerm,dataRating,deviceCategoryCode,deviceCode,deviceId,deviceLink,deviceName,hasDeviceData
24,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2020-03-18T17:07:29.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A1248,46260,http://data.oceannetworks.ca/DeviceListing?DeviceId=46260,Aanderaa Optode 4531A (S/N 1248),True
25,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2022-05-25T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A1601,63960,http://data.oceannetworks.ca/DeviceListing?DeviceId=63960,Aanderaa Optode 4531A (S/N 1601),True
26,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-12-01T01:30:12.000Z', 'dateTo': '2017-11-02T12:38:06.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2017-11-02T12:38:06.000Z', 'dateTo': '2017-11-06T22:53:59.000Z', 'samplePeriod': 5.0, 'sampleSize': 1}, {'dateFrom': '2017-11-06T22:53:59.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A171,23567,http://data.oceannetworks.ca/DeviceListing?DeviceId=23567,Aanderaa Optode 4531A (S/N 171),True
27,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-12-01T01:30:16.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A202,23568,http://data.oceannetworks.ca/DeviceListing?DeviceId=23568,Aanderaa Optode 4531A (S/N 202),True
28,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-11-28T03:25:25.000Z', 'dateTo': '2019-06-01T23:30:50.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2019-06-01T23:30:50.000Z', 'dateTo': None, 'samplePeriod': 1800.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A203,23569,http://data.oceannetworks.ca/DeviceListing?DeviceId=23569,Aanderaa Optode 4531A (S/N 203),True
29,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-11-28T04:48:03.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A205,23570,http://data.oceannetworks.ca/DeviceListing?DeviceId=23570,Aanderaa Optode 4531A (S/N 205),True
30,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-12-01T01:30:26.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A206,23571,http://data.oceannetworks.ca/DeviceListing?DeviceId=23571,Aanderaa Optode 4531A (S/N 206),True
31,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2016-11-30T02:15:00.000Z', 'dateTo': '2018-08-12T19:38:45.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2018-08-12T19:38:45.000Z', 'dateTo': '2018-08-16T18:44:46.000Z', 'samplePeriod': 3.0, 'sampleSize': 1}, {'dateFrom': '2018-08-16T18:44:46.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A435,23988,http://data.oceannetworks.ca/DeviceListing?DeviceId=23988,Aanderaa Optode 4531A (S/N 435),True
32,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2019-07-22T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A485,29179,http://data.oceannetworks.ca/DeviceListing?DeviceId=29179,Aanderaa Optode 4531A (S/N 485),True
33,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0969/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-10-09T17:34:38.000Z', 'dateTo': '2020-08-18T00:00:00.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2020-08-18T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1800.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4531A878,24656,http://data.oceannetworks.ca/DeviceListing?DeviceId=24656,Aanderaa Optode 4531A (S/N 878),True
34,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1239/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-08-13T23:54:09.000Z', 'dateTo': None, 'samplePeriod': 30.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt471,23572,http://data.oceannetworks.ca/DeviceListing?DeviceId=23572,Aanderaa Optode 4831 (S/N 471),True
35,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-01-07T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 0.167, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831F300,23386,http://data.oceannetworks.ca/DeviceListing?DeviceId=23386,Aanderaa Optode 4831F (S/N 300),True
36,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-01-08T22:13:25.000Z', 'dateTo': None, 'samplePeriod': 0.167, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831F301,23387,http://data.oceannetworks.ca/DeviceListing?DeviceId=23387,Aanderaa Optode 4831F (S/N 301),True
37,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2015-01-08T22:13:30.000Z', 'dateTo': None, 'samplePeriod': 0.167, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831F303,23388,http://data.oceannetworks.ca/DeviceListing?DeviceId=23388,Aanderaa Optode 4831F (S/N 303),True
38,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-12-05T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 0.167, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831F775,29239,http://data.oceannetworks.ca/DeviceListing?DeviceId=29239,Aanderaa Optode 4831F (S/N 775),True
39,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-11-28T00:00:00.000Z', 'dateTo': '2018-12-05T00:00:00.000Z', 'samplePeriod': 0.5, 'sampleSize': 1}, {'dateFrom': '2018-12-05T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 0.167, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831F777,29219,http://data.oceannetworks.ca/DeviceListing?DeviceId=29219,Aanderaa Optode 4831F (S/N 777),True
40,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1240/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2019-07-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 0.167, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831FIW737,27819,http://data.oceannetworks.ca/DeviceListing?DeviceId=27819,Aanderaa Optode 4831F-IW (S/N 737),True
41,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL1239/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2018-10-04T19:19:06.000Z', 'dateTo': '2019-07-24T00:00:00.000Z', 'samplePeriod': 0.25, 'sampleSize': 1}, {'dateFrom': '2019-07-24T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",OXYSENSOR,AandOpt4831IW736M,27279,http://data.oceannetworks.ca/DeviceListing?DeviceId=27279,Aanderaa Optode 4831IW (S/N 736M),True
42,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0836/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2008-04-02T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 30.0, 'sampleSize': 1}]",OXYSENSOR,AAO2_911,20116,http://data.oceannetworks.ca/DeviceListing?DeviceId=20116,Aanderaa Optode 3830 (S/N 911),True
43,"{'device': [{'uri': 'http://vocab.nerc.ac.uk/collection/L22/current/TOOL0061/', 'vocabulary': 'SeaVoX Device Catalogue'}]}","[{'dateFrom': '2008-08-11T00:00:00.000Z', 'dateTo': '2009-11-04T22:24:14.000Z', 'samplePeriod': 30.0, 'sampleSize': 1}, {'dateFrom': '2009-11-04T22:24:14.000Z', 'dateTo': '2010-05-18T20:23:30.000Z', 'samplePeriod': 15.0, 'sampleSize': 1}, {'dateFrom': '2010-05-18T20:23:30.000Z', 'dateTo': '2010-05-18T20:59:57.000Z', 'samplePeriod': 1.0, 'sampleSize': 1}, {'dateFrom': '2010-05-18T20:59:57.000Z', 'dateTo': '2012-06-06T18:46:22.000Z', 'samplePeriod': 2.0, 'sampleSize': 1}, {'dateFrom': '2012-06-06T18:46:22.000Z', 'dateTo': '2017-02-08T16:28:32.000Z', 'samplePeriod': 2.6019, 'sampleSize': 1}, {'dateFrom': '2017-02-08T16:28:32.000Z', 'dateTo': None, 'samplePeriod': 2.0, 'sampleSize': 1}]",ADCP300KHZ,ADCP20003,20003,http://data.oceannetworks.ca/DeviceListing?DeviceId=20003,RDI Workhorse Monitor ADCP 300 kHz (9273),True
44,{'device': []},"[{'dateFrom': '2010-08-01T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 0.25, 'sampleSize': 1}]",CTD,ADMCTD110,22663,http://data.oceannetworks.ca/DeviceListing?DeviceId=22663,ADM CTD 110,True
45,{'device': []},[],ADAPTER,ADR2205,13123,http://data.oceannetworks.ca/DeviceListing?DeviceId=13123,ADR2205 Relay,True
46,{'device': []},"[{'dateFrom': '2016-02-04T14:43:34.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA8016151,22060,http://data.oceannetworks.ca/DeviceListing?DeviceId=22060,Advantech ADAM-6217 Ethernet Module (S/N IAA8016151),True
47,{'device': []},"[{'dateFrom': '2016-02-04T14:43:21.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA8016155,22061,http://data.oceannetworks.ca/DeviceListing?DeviceId=22061,Advantech ADAM-6217 Ethernet Module (S/N IAA8016155),True
48,{'device': []},"[{'dateFrom': '2016-03-07T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA9032863,23857,http://data.oceannetworks.ca/DeviceListing?DeviceId=23857,Advantech ADAM-6217 Ethernet Module (S/N IAA9032863),True
49,{'device': []},"[{'dateFrom': '2017-03-23T18:30:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA9112777,24108,http://data.oceannetworks.ca/DeviceListing?DeviceId=24108,Advantech ADAM-6217 Ethernet Module (S/N IAA9112777),True
50,{'device': []},"[{'dateFrom': '2016-03-07T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA9112793,23856,http://data.oceannetworks.ca/DeviceListing?DeviceId=23856,Advantech ADAM-6217 Ethernet Module (S/N IAA9112793),True
51,{'device': []},"[{'dateFrom': '2016-03-07T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA9112799,23855,http://data.oceannetworks.ca/DeviceListing?DeviceId=23855,Advantech ADAM-6217 Ethernet Module (S/N IAA9112799),True
52,{'device': []},"[{'dateFrom': '2017-03-23T18:14:21.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA9112848,24107,http://data.oceannetworks.ca/DeviceListing?DeviceId=24107,Advantech ADAM-6217 Ethernet Module (S/N IAA9112848),True
53,{'device': []},"[{'dateFrom': '2016-03-07T00:00:00.000Z', 'dateTo': None, 'samplePeriod': 1.0, 'sampleSize': 1}]",ADAPTER,ADVANTECHADAM6217IAA9112854,23858,http://data.oceannetworks.ca/DeviceListing?DeviceId=23858,Advantech ADAM-6217 Ethernet Module (S/N IAA9112854),True
